Gene_ID,Name,s_frt82b_1,s_frt82b_2,s_frt82b_3,s_wda_1,s_wda_2,s_wda_3
FBgn0000153,b,0.27,0.2,0.19,1.19,0.92,0.88
FBgn0000157,Dll,0.19,0.11,0.33,0.17,0.17,0.14
FBgn0000158,bam,17.68,16.77,16.01,4.85,6.27,6.65
FBgn0000163,baz,8.37,8.74,9.34,22.53,22.79,20.92
FBgn0000166,bcd,26.87,28.11,30.77,2.02,2.65,2.16
FBgn0000173,ben,419.5,401.03,421.25,249.67,250.53,238.34
FBgn0000179,bi,0,0,0.02,0.03,0.02,0.03
FBgn0000180,bib,0.66,0.99,1.03,7.85,8.92,6.61
FBgn0000181,bic,2168.32,1998.33,2272.81,2247.03,2495.84,2400.95
FBgn0000182,BicC,272.02,283.29,319.19,5.83,9.48,7.36
FBgn0000183,BicD,81.44,78.43,89.73,34.89,37.49,30.14
FBgn0000206,boss,0,0,0.02,0,0,0
FBgn0000212,brm,36.94,40.04,42.58,25.3,29.85,21.48
FBgn0000216,Brd,0,0,0,0,0.07,0
FBgn0000221,brn,14.52,14.56,14.9,8.36,8.73,9.74
FBgn0000227,Bsg25A,0,0,0,0,0,0
FBgn0000228,Bsg25D,28.78,27.59,34.72,20.58,20.04,14.7
FBgn0000229,bsk,22.78,21.48,23.69,62.82,54.35,50.68
FBgn0000233,btd,0.06,0.06,0.12,0.09,0.17,0.12
FBgn0000239,bur,121.98,119.2,134,80.68,88.28,77.59
FBgn0000241,bw,0.06,0.1,0.06,0,0.08,0.11
FBgn0000244,by,10.46,11.31,10.09,44.66,35.71,39.02
FBgn0000246,c(3)G,43.69,37.12,47.19,23.35,24.48,22.16
FBgn0000247,ca,18.58,20.71,21.16,9.68,11.35,8.88
FBgn0000250,cact,241.26,240.69,271.22,89.72,94.5,75.54
FBgn0000251,cad,92.97,95.58,113.95,6.13,8.54,7.26
FBgn0000253,Cam,1447.74,1149.97,1499.17,702.43,639.82,549.71
FBgn0000256,capu,16.37,17.3,19.08,22.83,23.3,20.37
FBgn0000257,car,20.75,21.73,21.67,16.22,15.41,16.17
FBgn0000259,CkIIbeta,351.02,315.42,369.26,190.96,211.58,183.72
FBgn0000261,Cat,75.63,89.89,78.06,131.92,116.53,90.97
FBgn0000273,Pka-C1,68.83,66.41,78.11,33.46,31.7,25.89
FBgn0000274,Pka-C2,0.94,1.51,0.71,0.76,0.73,0.92
FBgn0000276,CecA1,1.52,0.94,0.6,2.52,1.24,1.7
FBgn0000277,CecA2,0.43,0,0.19,1.11,0.17,0.64
FBgn0000278,CecB,0,0,0,0.24,0,0.23
FBgn0000279,CecC,0.36,0,0.14,0.66,0,0.77
FBgn0000280,Cec-Psi1,0,0,0,0,0,0
FBgn0000281,Cec2,0,0,0,0,0,0
FBgn0000283,Cp190,91.19,84.92,103.34,49.81,55.99,43.62
FBgn0000286,Cf2,19.9,19.54,24.56,7.9,7.38,6.35
FBgn0000287,salr,0,0,0.01,0.01,0.02,0.03
FBgn0000289,cg,98.61,101.13,112.5,42.75,50.88,42.68
FBgn0000299,Col4a1,52.31,53.83,55.74,270.72,365.73,248.45
FBgn0000303,ChAT,0,0,0,0.02,0.01,0.01
FBgn0000307,chif,64.4,63.06,73.15,18.52,20.24,15.11
FBgn0000308,chic,1134.68,981.05,1171.56,1562.84,1458.93,1390.28
FBgn0000316,cin,77.41,75.87,84.29,80.49,84.44,73.69
FBgn0000317,ck,14.32,16.17,16.9,12.66,13.87,11.02
FBgn0000318,cl,221.6,218.2,225.41,265.6,246.94,273.88
FBgn0000319,Chc,203.37,221.91,220.17,171.18,180.45,146.8
FBgn0000320,eya,8.82,9.89,8.91,65.14,72.47,62.34
FBgn0000326,clt,31.47,29.61,29.77,26.63,27.04,22.5
FBgn0000330,cm,40.23,43.25,40.72,35.95,33.9,34.79
FBgn0000337,cn,0.09,0.12,0.13,0.05,0.11,0
FBgn0000339,cni,113.36,110.38,114.4,109.42,114.43,114.47
FBgn0000346,comt,5.84,5.54,5.33,8.56,10.89,9.24
FBgn0000351,cort,72.51,73.4,76.07,3.52,3.73,3.53
FBgn0000352,cos,27.83,27.14,29.82,8.77,11.08,8.39
FBgn0000355,Cp15,19281.98,23515.87,14820.09,5.65,46.09,8.21
FBgn0000356,Cp16,3032.41,3196.01,2353.54,1.13,16.96,1.82
FBgn0000357,Cp18,6525.5,5269.81,5756.02,3.2,41.57,4.37
FBgn0000358,Cp19,6391.37,7299.52,4822.19,2.22,14.05,2.71
FBgn0000359,Cp36,7239.84,8181.01,6174.76,2.59,19.22,6.8
FBgn0000360,Cp38,8208.19,9468.06,6505.03,1.92,22.39,5.8
FBgn0000370,crc,399.36,375.56,410.07,732.93,738.72,633.99
FBgn0000376,crm,39.07,40.75,45.55,7.18,8.61,7.83
FBgn0000377,crn,38.49,37.4,38.74,39.03,44.21,39.16
FBgn0000382,csw,44.53,44.87,52.96,32.08,26.88,22.57
FBgn0000384,cta,84.5,75.01,86.39,40.62,38.19,38.1
FBgn0000392,cup,176.16,188.87,201.91,20.36,29.59,20.97
FBgn0000394,cv,13.08,11.12,13.07,27.86,28.08,28.64
FBgn0000395,cv-2,2.01,1.55,2.21,4.53,3.76,3.36
FBgn0000404,CycA,642.89,602.66,722.19,72.65,80.48,77.4
FBgn0000405,CycB,1262.18,1191.78,1394.21,80.63,96.15,92.4
FBgn0000406,Cyt-b5-r,1.85,1.52,1.82,6.5,13.91,24.54
FBgn0000411,D,0,0.02,0.09,0.21,0.12,0.36
FBgn0000412,D1,311.06,287.59,349.33,308.54,339.59,295.67
FBgn0000414,Dab,8.5,8.48,9.41,14.49,11.51,12.07
FBgn0000416,Sap-r,624.66,655.17,673.38,1126.43,1229.66,849.37
FBgn0000422,Ddc,0.32,0.34,0.54,0.66,0.66,0.91
FBgn0000426,SmF,188.73,169.4,183.63,207.1,196.43,222.11
FBgn0000427,dec-1,1237.33,1524.6,1703.34,60.43,83.88,115.74
FBgn0000439,Dfd,0,0,0,0.08,0.07,0.02
FBgn0000442,Pkg21D,0,0.01,0.07,0.19,0.02,0.05
FBgn0000447,Dhod,93.35,96.45,94.01,85.46,96.27,93.95
FBgn0000448,Hr3,3.14,2.91,3.8,1.31,1.12,0.6
FBgn0000449,dib,1.86,2.04,1.58,1.46,1.74,1.38
FBgn0000451,ect,0.25,0.12,0.09,1.79,1.08,0.9
FBgn0000454,Dip-B,851.64,875.33,823.92,770.58,807.24,496.37
FBgn0000455,Dip-C,40.62,40.13,40.63,65.43,58.17,51.69
FBgn0000459,disco,0.03,0.1,0.09,1.66,1.03,1.41
FBgn0000463,Dl,16.32,16.01,19.21,8.1,11.73,8.53
FBgn0000464,Lar,10.01,10.64,12.1,8.16,9.31,6.92
FBgn0000473,Cyp6a2,0.2,0.24,0.17,1.43,0.91,3.2
FBgn0000477,DNaseII,0.1,0.08,0.12,0.49,0.86,3.93
FBgn0000479,dnc,29.72,29.39,32.52,10.49,9.3,8.33
FBgn0000482,dor,19.57,19.44,22.11,16.47,17.25,14.74
FBgn0000489,Pka-C3,16.66,15.43,21.03,36.17,23.11,25.96
FBgn0000490,dpp,1.64,1.53,1.6,7.43,4.77,6.02
FBgn0000492,Dr,0,0,0.02,0.05,0.06,0.1
FBgn0000499,dsh,38.73,41.15,43.9,19.63,20.97,20.48
FBgn0000500,Dsk,0,0,0,0,0,0
FBgn0000504,dsx,0.9,0.6,0.34,9.32,6.25,6.37
FBgn0000520,dwg,17.12,19.26,19.79,13.11,13.77,13.91
FBgn0000524,dx,32.07,33.4,39.23,19.58,22.4,17.9
FBgn0000527,e,0.01,0.02,0.01,0.03,0,0
FBgn0000529,bsh,0,0,0,0.07,0,0.02
FBgn0000533,ea,32.8,34.6,34.3,11.06,13.09,14.11
FBgn0000535,eag,0.02,0.02,0.01,0.22,0.16,0.17
FBgn0000536,eas,39.64,38.98,40.76,36.77,28.35,26.55
FBgn0000541,E(bx),71.7,76.22,87.64,33.19,35.29,27.41
FBgn0000542,ec,3.01,3.34,2.94,9.88,13.33,9.68
FBgn0000543,ecd,43.54,44.01,45.19,33.69,35.17,32.82
FBgn0000546,EcR,25.23,25.78,29.15,17.4,18.72,14.98
FBgn0000547,ed,48.47,51.23,55.03,60.91,64.87,54.67
FBgn0000551,Edg78E,0,0,0,0.09,0.06,0
FBgn0000552,Edg84A,0,0,0,0,0,0
FBgn0000557,eEF1alpha2,0.32,0.42,0.27,4.11,5.47,6.92
FBgn0000559,eEF2,3937.23,3928.2,3988.8,3211.19,3789.23,3282.74
FBgn0000560,eg,0,0.02,0,0.03,0,0
FBgn0000562,egl,53.24,55.04,57.94,38.84,42.52,33
FBgn0000564,Eh,0,0,0,0,0,0
FBgn0000565,Eip71CD,31.72,34.29,35.3,61.35,59.94,56.06
FBgn0000566,Eip55E,169.97,171.46,180.78,77.39,95.72,83.79
FBgn0000567,Eip74EF,5.95,6.89,8.39,3.29,3.5,2.76
FBgn0000568,Eip75B,13.73,17.36,15.86,78.08,94.48,65.69
FBgn0000575,emc,75.04,77.04,85.52,135.4,133.44,99.47
FBgn0000576,ems,0,0,0,0.02,0.01,0
FBgn0000577,en,0,0,0.02,0.06,0.03,0.04
FBgn0000578,ena,28.86,30.56,33.53,55.22,55.31,45.69
FBgn0000579,Eno,1376.08,1434.58,1433.85,315.65,327.75,303.1
FBgn0000581,E(Pc),33.66,37.25,41.91,16.7,19.02,15.46
FBgn0000588,esc,35.37,34.91,36.64,16.23,19.11,17.27
FBgn0000591,E(spl)m8-HLH,0,0.04,0,0.12,0.18,0.06
FBgn0000592,Est-6,0.2,0.24,0.25,8.84,3.19,3.93
FBgn0000594,Est-P,0.05,0.02,0,0.4,0.13,0.18
FBgn0000606,eve,0.03,0,0,0,0,0
FBgn0000611,exd,80.25,82.66,93,124.32,127.9,110.11
FBgn0000615,exu,417.49,459.44,472.79,21.19,24.22,20.12
FBgn0000617,e(y)1,40.39,43.08,46.82,45.05,48.42,43.18
FBgn0000618,e(y)2,57.52,55.34,56.01,51.1,47.8,56.92
FBgn0000625,eyg,0,0,0,0,0,0
FBgn0000629,E(z),47.54,49.39,50.82,27.5,34.22,27.82
FBgn0000633,CG17716,0.01,0.05,0.03,0.67,0.41,0.45
FBgn0000635,Fas2,13.27,15.03,14.54,127.7,132.92,112.66
FBgn0000636,Fas3,32.15,32.99,34.21,260.15,236.55,217.05
FBgn0000639,Fbp1,0,0,0,0.07,0,0.01
FBgn0000640,Fbp2,0.05,0.03,0,0.43,0.12,0.16
FBgn0000644,Fcp3C,181.43,221.83,187.66,1.76,4.25,2.21
FBgn0000658,fj,0.1,0.23,0.12,0.75,0.59,0.64
FBgn0000659,fkh,0,0.03,0.01,0.11,0,0.09
FBgn0000662,fl(2)d,53.17,54.15,58.87,34.68,34.56,31.44
FBgn0000667,Actn,74.82,81.28,88.4,65.8,53.94,49.2
FBgn0000709,fliI,24.66,25.29,27.91,15.89,14.99,13.22
FBgn0000711,flw,51.58,46.11,52.59,31.58,25.65,26.33
FBgn0000715,FMRFa,0,0,0,0,0,0
FBgn0000719,fog,50.17,48.54,56.77,29.03,25.61,24.12
FBgn0000721,for,144.14,146.02,167.63,89.78,85.85,67.74
FBgn0000723,FER,4.71,4.26,4.24,12.14,11.45,11.83
FBgn0000808,gd,8.5,8.47,10.85,1.47,2.21,2.08
FBgn0000810,fs(1)K10,41.83,41.69,50.05,19.17,23.77,19.32
FBgn0000826,png,72.7,76.61,74.43,7.49,10.75,11.21
FBgn0000927,fs(1)Ya,189.82,202.49,201.21,13.53,20.96,19.52
FBgn0000928,fs(1)Yb,1.75,1.89,1.72,18.12,19.85,17.34
FBgn0000964,tj,58.32,53.83,60.76,93.78,119.06,85.53
FBgn0000996,dup,121.13,117.93,128.47,22.79,28.8,23.34
FBgn0001075,ft,0.01,0.01,0,0.02,0.02,0.02
FBgn0001077,ftz,0,0,0,0,0,0
FBgn0001078,ftz-f1,43.7,43.83,49.05,11.68,12.58,10.41
FBgn0001079,fu,12.45,12.52,13.77,9.73,10.99,9.53
FBgn0001083,fw,0.04,0.04,0.01,0.24,0.18,0.27
FBgn0001084,fy,5.3,5.29,6.12,4.04,3.68,4.07
FBgn0001085,fz,36.65,34.06,39.46,6.19,6.22,6.9
FBgn0001086,fzy,113.95,109.41,115.4,28.62,30.85,27.07
FBgn0001087,g,53.64,56.12,65.2,20.74,22.91,19.6
FBgn0001089,Gal,0.6,0.47,0.58,6.56,4.7,3.38
FBgn0001090,bnb,17.14,21.3,14.52,1.64,2.1,1.57
FBgn0001091,Gapdh1,850.92,910.78,877.34,257.4,281.68,254.83
FBgn0001092,Gapdh2,2171.93,2238.68,2258.81,429.2,404.98,398.32
FBgn0001098,Gdh,300.33,322.37,346.08,362.98,441.52,318.76
FBgn0001099,gdl,38.22,31.13,38.42,10.85,10.34,10.55
FBgn0001104,Galphai,97.54,92.98,105.17,109.18,112.23,100.16
FBgn0001105,Gbeta13F,230,226.19,247.11,155.97,148.32,123.84
FBgn0001108,DCTN1-p150,67.86,68.57,74.25,32.72,34.32,28.95
FBgn0001112,Gld,0.1,0.08,0.05,0.03,0.02,0
FBgn0001114,Glt,0.99,0.21,0.34,7.75,6.54,22.51
FBgn0001120,gnu,435.65,400.92,442.3,70.01,69.85,90.42
FBgn0001122,Galphao,29.02,26.78,36.09,56.33,37.89,36.82
FBgn0001123,Galphas,15.06,14.82,15.64,73.36,64.59,60.19
FBgn0001124,Got1,170.72,162.97,178.6,162.25,163.74,165.79
FBgn0001125,Got2,487.06,486.09,498.68,328.95,353.54,322.16
FBgn0001128,Gpdh1,176.12,163.21,197.07,213.51,184.01,140.66
FBgn0001133,grau,26.28,25.62,25.64,27.13,26.39,26.03
FBgn0001134,Grd,0.01,0.02,0.02,0,0,0
FBgn0001137,grk,14.35,15.25,16.78,18.74,20.29,22.35
FBgn0001138,grn,0,0.01,0,0.03,0,0
FBgn0001139,gro,108.09,112.08,123.84,45.19,50.19,42.72
FBgn0001142,Gs1,277.33,282.21,308.96,77.62,92.26,50.17
FBgn0001145,Gs2,5.28,5.72,5.11,102.83,83.87,72.84
FBgn0001147,gsb-n,0,0,0,0,0.06,0.08
FBgn0001148,gsb,0,0,0,0,0.08,0
FBgn0001149,GstD1,2207.27,2247.2,2241.81,688,695.55,997.14
FBgn0001150,gt,0.16,0.1,0.11,0.23,0.16,0.39
FBgn0001168,h,9.26,9.56,8.8,49.76,50.36,42.37
FBgn0001169,H,40.84,43.72,46.78,14,17.13,13.27
FBgn0001170,H2.0,0,0,0,0,0,0
FBgn0001174,halo,0,0,0.08,0,0,0
FBgn0001179,hay,50.88,52.31,52.95,26.97,29.05,23.76
FBgn0001180,hb,25.5,30.02,30.43,4.72,3.4,3.81
FBgn0001185,her,22.3,19.64,22.96,15.54,15.09,13.94
FBgn0001186,Hex-A,114.42,113.36,121.3,100.59,114.25,90.92
FBgn0001187,Hex-C,0.06,0.19,0.16,1.6,1.24,0.86
FBgn0001189,hfw,22.45,23.87,26.23,24.69,27.62,24.53
FBgn0001197,His2Av,916.13,806.02,892.74,665.09,655.91,606.94
FBgn0001202,hook,25.1,24.5,27.28,25.66,21.78,20.8
FBgn0001206,Hmr,12.72,13.16,14.37,4.59,6.17,4.87
FBgn0001208,Hn,0.37,0.18,0.31,1.01,2.75,1.53
FBgn0001215,Hrb98DE,245.4,226.89,261.23,243.64,267.9,217.85
FBgn0001216,Hsc70-1,0.04,0.07,0.04,0.54,0.19,0.26
FBgn0001217,Hsc70-2,6.56,6.36,5.61,11.23,10.79,10.97
FBgn0001218,Hsc70-3,871.94,870.59,940.33,197.95,227.48,184.29
FBgn0001220,Hsc70-5,218.56,207.06,225.46,231.3,272.85,236.56
FBgn0001222,Hsf,85.1,85.17,98.34,31.63,32.8,30.19
FBgn0001223,Hsp22,25.6,31.43,24.58,25.9,16.35,81.38
FBgn0001224,Hsp23,44.35,42.15,37.71,104.83,82.61,183.22
FBgn0001225,Hsp26,3096.99,3350.67,3156.39,123.69,119.95,214.31
FBgn0001226,Hsp27,1191.22,1058.18,1144.57,79.66,69.36,67.92
FBgn0001227,Hsp67Ba,1.09,1.04,1.31,50.02,47.36,44.68
FBgn0001228,CG4456,1.82,2.16,1.91,29.51,25.49,32.46
FBgn0001229,Hsp67Bc,0.61,1.71,0.54,11.31,11.64,10.81
FBgn0001230,Hsp68,2.72,5.41,2.91,10,8.54,35.66
FBgn0001233,Hsp83,2570.93,2489.71,2598.51,1313.61,1533.96,1418.26
FBgn0001234,lncRNA:Hsromega,43.5,41.4,40.71,119.76,91.34,114.29
FBgn0001235,hth,0.06,0.06,0.07,1.76,0.92,1.06
FBgn0001247,Ide,53.44,54.57,57.73,39.6,43.89,38.24
FBgn0001248,Idh,387.13,382.34,380.37,189.5,201.47,172.1
FBgn0001250,if,3.22,3.63,2.96,18.67,12.53,11.48
FBgn0001253,ImpE1,0.01,0.01,0,0,0.02,0
FBgn0001254,ImpE2,0,0,0,0,0,0
FBgn0001255,ImpE3,1.13,1.42,1.19,4.48,2.93,2.79
FBgn0001256,ImpL1,0,0,0,0.08,0,0.04
FBgn0001257,ImpL2,89.42,73.35,82.2,18.77,19.86,19.95
FBgn0001258,Ldh,1.18,1.24,1.63,8.76,6.95,25.15
FBgn0001259,in,0,0,0,0.03,0.07,0.09
FBgn0001263,inaD,0.05,0.12,0.1,0.04,0.07,0.04
FBgn0001269,inv,0.01,0.01,0,0.08,0.07,0.1
FBgn0001276,ix,44.19,42.42,43.05,22.49,22.44,18.69
FBgn0001280,janA,191.45,160.2,185.91,125.58,139.31,128.29
FBgn0001281,janB,0.08,0.12,0.09,0,0.18,0.33
FBgn0001285,Jon44E,0,0,0,0,0,0.1
FBgn0001291,Jra,43.16,44.78,48.42,57.22,58.2,55.9
FBgn0001296,kar,82.88,89.6,91.02,175.05,212.57,138.02
FBgn0001297,kay,13.75,16.82,16.25,81.42,83.25,62.08
FBgn0001301,kel,22.47,23.1,26.14,13.21,14.58,12.78
FBgn0001308,Khc,149.85,154.44,157.83,86.35,85.32,70.75
FBgn0001311,kkv,0.09,0.14,0.13,0.28,0.37,0.41
FBgn0001313,kl-2,0,0,0,0,0,0
FBgn0001316,klar,75.47,77.82,90.61,52.5,58.16,46.86
FBgn0001319,kn,0.02,0.02,0.02,0.06,0.02,0.01
FBgn0001320,kni,0.04,0.03,0.07,0.33,0.29,0.27
FBgn0001321,knk,3.83,3.67,3.7,2.43,3.06,1.67
FBgn0001323,knrl,0,0.05,0.06,0.25,0.14,0.14
FBgn0001324,kto,19.78,23.81,21.12,14.55,18.07,13.96
FBgn0001325,Kr,0,0.01,0,0.04,0.01,0
FBgn0001330,kz,18.18,19.46,19.76,14.17,17.7,13.77
FBgn0001341,Mybbp1A,25.48,23.79,25.66,32.07,41.05,31.89
FBgn0001404,egh,41.86,41.28,48.32,36.87,33.21,28.3
FBgn0001491,l(1)10Bb,60.01,52.99,60.32,96.38,84.14,92.88
FBgn0001565,Hlc,134.54,127.37,133.42,107.95,114.43,104.49
FBgn0001612,Grip91,60.98,63.16,66.76,11.54,15.77,12.98
FBgn0001624,dlg1,32.4,31.81,36.27,88.27,89.52,82.14
FBgn0001941,ifc,115.09,107.83,129.59,247.4,222.1,199.51
FBgn0001942,eIF4A,1931.35,1909.78,1968.43,1871.3,2003.64,1898.71
FBgn0001961,Arpc1,88.5,92.19,94.7,123.73,133.4,117.53
FBgn0001965,Sos,15.74,17.04,19.28,16.44,17.81,15.07
FBgn0001967,NimC3,0,0,0,0,0.12,0.11
FBgn0001970,Pgant35A,22.54,22.43,20.71,13.06,12.38,14.33
FBgn0001977,CIAPIN1,31.7,29.72,30.16,41.7,40.8,43.72
FBgn0001978,stc,67.68,66.42,68.57,33.04,43.61,35.38
FBgn0001981,esg,0.05,0.03,0,0.08,0.2,0.19
FBgn0001983,wor,0,0,0,0,0,0
FBgn0001986,Mtr4,26.98,28.44,30.61,37.3,48.04,41.44
FBgn0001987,Gli,8.47,9.55,10.43,16,13.75,12.5
FBgn0001989,ND-B17,106.77,126.77,107.43,132.31,153.05,139.18
FBgn0001990,wek,34.29,34.11,38.11,18.1,22.84,18.78
FBgn0001991,Ca-alpha1D,0.16,0.11,0.12,4.78,2.6,2.96
FBgn0001992,Cyp303a1,0.03,0,0,0,0.04,0
FBgn0001994,crp,67.86,69.04,79.58,34.58,40.21,35.27
FBgn0001995,mRpL4,72.05,69.48,67.68,71.31,82.13,76.48
FBgn0002021,l(2)37Bb,32.39,31.31,32.16,40.22,43.11,40.49
FBgn0002022,Catsup,110.58,108.87,109.08,64.83,69.32,62.22
FBgn0002023,Lim3,0.09,0.07,0.05,0.01,0.03,0.04
FBgn0002031,l(2)37Cc,430.21,433.14,457.49,251.03,304.07,274.45
FBgn0002036,CG10561,8.26,7.87,8.9,4.71,4.77,5.16
FBgn0002044,swm,63.28,65.49,72.15,32.37,38.88,29.03
FBgn0002069,AspRS,164.8,151.03,162.95,127.17,149,132.11
FBgn0002121,l(2)gl,90.55,85.47,101.37,80.87,75.05,63.91
FBgn0002174,l(2)tid,56.98,58.64,59.68,46.11,59.24,48.83
FBgn0002183,dre4,237.45,231.5,246.13,97.63,120.09,100.87
FBgn0002283,l(3)73Ah,74.49,65.27,78.95,26.04,26.93,28.6
FBgn0002284,Prosbeta6,597.71,578.58,578.96,435.15,466.14,461.44
FBgn0002306,sas,0.71,0.64,0.68,1.86,2.16,2.25
FBgn0002354,l(3)87Df,28.32,30.8,28.21,72.77,67.69,71.16
FBgn0002413,dco,134.03,138.03,153.06,82.63,87.7,73.57
FBgn0002431,hyd,37,39.92,42.83,57.83,66.37,48.88
FBgn0002440,l(3)mbn,0,0.02,0,0,0,0
FBgn0002441,l(3)mbt,28.63,31.06,33.59,14.13,16.3,13.85
FBgn0002466,sti,14.29,14.01,15.44,11.53,11.94,10.27
FBgn0002521,pho,84.58,70.14,88.87,65.76,54.65,57.4
FBgn0002522,lab,0,0,0,0.23,0.25,0.2
FBgn0002524,lace,53.09,53.05,59.28,40.28,42.42,42.65
FBgn0002525,Lam,128.57,126.19,139.72,69.53,86.05,65.94
FBgn0002526,LanA,15.13,17.08,15.92,71.81,83.52,58.93
FBgn0002531,Lcp1,0,0,0.05,0,0,0.09
FBgn0002533,Lcp2,0,0,0,0,0.04,0
FBgn0002534,Lcp3,0,0,0,0,0,0.09
FBgn0002535,Lcp4,0,0,0,0,0,0
FBgn0002542,lds,113.83,112.54,116.16,29.68,32.1,28.91
FBgn0002543,robo2,0.58,0.54,0.61,3.61,4.13,3.47
FBgn0002552,lin,28.02,28.78,32.53,7.37,8.46,7.98
FBgn0002561,l(1)sc,0,0,0,0,0,0
FBgn0002562,Lsp1alpha,0,0,0,0.02,0.04,1.18
FBgn0002563,Lsp1beta,0.08,0.02,0.02,0.35,0.84,3.81
FBgn0002564,Lsp1gamma,0,0,0,0.02,0,0
FBgn0002565,Lsp2,2.27,0.23,0.55,1.5,9.27,123.96
FBgn0002566,lt,48.68,43.35,50.98,47.93,43.58,41.08
FBgn0002567,Rab32,97.22,96.97,107.38,11.76,13.11,14.08
FBgn0002569,Mal-A2,0,0.02,0,0,0.03,0.19
FBgn0002570,Mal-A1,0.02,0.02,0.05,0.13,0.44,0.43
FBgn0002571,Mal-A3,0.02,0.03,0.03,0.05,0.09,0.27
FBgn0002573,sens,0,0,0,0,0.01,0
FBgn0002576,lz,0.01,0.01,0,0.09,0.14,0.07
FBgn0002577,m,0.11,0.12,0.11,0.59,0.44,0.58
FBgn0002578,Kaz-m1,0,0,0,0.3,0.05,0
FBgn0002579,RpL36,4105.16,4137.32,3601.52,10349.21,8365.3,11742.23
FBgn0002590,RpS5a,1091.75,1109.08,1042.16,2849.78,3192,2944.16
